C 1 C C C C C 1 . C = C C ( = O ) O C . C O c 1 c c ( Br ) c c ( O C ) c 1 O C | [v13]
C = C c 1 c c c ( C ) c ( Br ) c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c c c 1 | [v0]
C = C c 1 c c c c c 1 . C c 1 c c c c c 1 S . O = C = O | [v27]
C 1 = C ( c 2 c c c c n 2 ) C C C C C 1 . C = C c 1 c c c c c 1 | [v0]
C # C c 1 c c c c c 1 N ( C ( = O ) C ( F ) ( F ) F ) C ( C ( = O ) O C ) c 1 c c c c c 1 . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = S = O | [v0]
C C ( = O ) O C ( C 1 = C C C C 1 = O ) c 1 c c c c c 1 - c 1 c c c 2 c c c c c 2 c 1 . C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C C C ( C C = C ) ( C ( = O ) O C C ) C ( = O ) O C C . C C ( C ) ( C ) O C ( = O ) n 1 c c c 2 c c ( Br ) c c c 2 1 . O = S ( O [Na] ) c 1 c c c c c 1 | [v12]
C = C ( O [Si] ( C ) ( C ) C ) c 1 c c c ( F ) c c 1 . C = C C C / C ( = N / O c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 [N+] ( = O ) [O-] ) c 1 c c c ( C ) c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v0]
C 1 C C N C 1 . C = C ( c 1 c c c ( Cl ) c c 1 ) c 1 c c c c n 1 . O = C 1 C C N ( C c 2 c c c c c 2 ) C C 1 | [v0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C 2 ( C C ( = N O C ( = O ) c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) C 2 ) C 1 . C C N ( C C ) C C . F | [v0]
C = C c 1 c c c c ( N C ( = O ) O C ( C ) ( C ) C ) c 1 . C S ( C ) = O . O = C 1 O [IH2] ( C ( F ) ( F ) F ) c 2 c c c c c 2 1 | [v0]
Br c 1 c c c 2 [nH] c c c 2 c 1 . C = C ( N C ( C ) = O ) c 1 c c c c c 1 . O = C ( C c 1 c c c c c 1 ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O | [v29]
C [Si] ( C ) ( C ) O C ( = C ( F ) F ) c 1 c c c c c 1 . C c 1 c c c c ( [N+] # N ) c 1 . F [B-] ( F ) ( F ) F . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
C = C C = C . C C ( C ) = C C O c 1 c ( Br ) c c c c 1 - c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C = C ( C S ( = O ) ( = O ) c 1 c c c c c 1 ) C ( = O ) O C ( C ) ( C ) C . C O c 1 c c c ( N ) c c 1 . O = C c 1 c c c c c 1 | [v40]
C C O C ( = O ) C ( F ) ( F ) Br . C c 1 c c c ( C = O ) c c 1 . N N 1 C C O C C 1 | [v0]
C # C c 1 c c c ( C C C C C ) c c 1 . O . c 1 c c c 2 c n c c c 2 c 1 | [v0]
F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( F ) c ( Cl ) c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . S C 1 C C C C C 1 | [v0]
C = C C c 1 c c c c c 1 . O = S ( = O ) ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v2]
C 1 C C C C C C C 1 . C C ( = O ) c 1 c c c ( Cl ) c c 1 . N c 1 c c c c c 1 | [v0]
C = C c 1 c c c c c 1 . C C # N . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O | [v0]
C # C c 1 c c c c c 1 . C N c 1 c c c ( C ( = O ) O C ) c c 1 . C O | [v3]
C ( # C c 1 c c c c c 1 ) c 1 c c c c c 1 . O = O . c 1 c c c 2 [nH] c c c 2 c 1 | [v11]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O [IH2] ( N = S ( = O ) ( C c 2 c c c c c 2 ) c 2 c c c c c 2 ) c 2 c c c c c 2 ) c c 1 . O = O | [v0]
C = C c 1 c c c c ( O C ) c 1 . C c 1 c c c ( S ) c c 1 . O = C = O | [v27]
C c 1 c c c ( N O C ( = O ) c 2 c c c c c 2 ) c c 1 . O = C ( O ) C 1 C C C C C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v23]
O = C ( O ) C 1 C C C ( F ) ( F ) C C 1 . O = C ( O N C C c 1 c c c ( F ) c c 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22]
N c 1 c c c c c 1 . O = C c 1 c c c ( Br ) c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C = C c 1 c c c ( Br ) c c 1 . C O [n+] 1 c c c ( C # N ) c c 1 | [v0]
C = C C C C ( = O ) N c 1 c c c c ( O C ) c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
C # C C C C C C C . C O C ( = O ) / C ( N ) = C / c 1 c [nH] c 2 c c c c c 1 2 . O = O | [v11]
C / C = C / c 1 c c ( O C ) c ( O C ) c c 1 O C . C S ( C ) = O . O = C 1 O [IH2] ( C ( F ) ( F ) F ) c 2 c c c c c 2 1 | [v49]
C = C c 1 c c c c 2 c c c c c 1 2 . C c 1 c c c ( S ( = O ) ( = O ) O C ( F ) ( F ) F ) c c 1 . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v32]
C C O C ( = O ) C C ( C ) = O . N # C C C # N . O = C 1 N c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 C 1 = O | [v0]
C c 1 c c c c ( S ( = O ) ( = O ) Cl ) c 1 . O . c 1 c c c ( C ( = C 2 C C 2 ) c 2 c c c c c 2 ) c c 1 | [v0]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) C ( = O ) O . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C 2 ( C 1 ) C N ( C ( = O ) O C ( C ) ( C ) C ) C 2 | [v9]
C = C c 1 c c c c c 1 Cl . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0]
C = C c 1 c c c c c 1 C # N . C C [SiH] ( C C ) C C . O = C = O | [v0]
N # C c 1 c c c ( C = C 2 C C 2 ) c c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
C = C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C c 1 c c c ( C ) c ( C ) c 1 . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v0]
C = C c 1 c c c ( Br ) c c 1 . C C # N . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C ( O [Si] ( C ) ( C ) C ) c 1 c c c c c 1 . C = C C C / C ( = N / O c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 [N+] ( = O ) [O-] ) c 1 c c c o 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v0]
C = C c 1 c c c c c 1 . C c 1 c c c ( C ) c ( S ) c 1 . O = C = O | [v27]
C / C = C / N C ( = O ) O C c 1 c c c ( Br ) c c 1 . C C [N+] ( C C ) = C ( C ) / N = S ( / c 1 c c c c c 1 ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) F . C O . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v0]
C / C = C / c 1 c c c c c 1 . C C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v0]
C = C c 1 c c c c c 1 C ( = O ) O . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C C O C ( = O ) C ( F ) ( F ) F . C S ( C ) = O . C S C # C C C C c 1 c c c ( Br ) c c 1 | [v0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . O = S ( = O ) ( Cl ) c 1 c c c ( Br ) c c 1 | [v0]
C C ( C ) I . O = C ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v45]
C = C ( C ) C # N . C C 1 ( O C ( = O ) C ( = O ) O [Cs] ) C C C C C 1 | [v0]
Br c 1 c c c 2 s c 3 c c c c c 3 c 2 c 1 . C 1 C O C C O 1 . C = C C ( = O ) O C | [v13]
C = C C C ( C ) C ( = O ) N c 1 c c c ( Cl ) c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
Br c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C = C C ( = O ) O C . C N ( c 1 c c c c c 1 ) c 1 c c c c c 1 | [v13]
C C ( = O ) O C ( C ) = O . C C ( C ) ( C ) C 1 = C C ( = C c 2 c c c c c 2 ) C = C ( C ( C ) ( C ) C ) C 1 = O . C C ( C ) [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v39]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 c c c c c 1 | [v0]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F [B-] ( F ) ( F ) C c 1 c c c c c 1 . N c 1 c c c c c 1 . [K+] | [v0]
C = C C C ( C ) ( C ) C ( = O ) N c 1 c c c ( Cl ) c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
C C ( C ) [C@@H] 1 C C [C@@H] ( C ) C [C@H] 1 O c 1 c c c ( C = O ) c c 1 . C O c 1 c c c ( N ) c c 1 . I C 1 C C C C C 1 | [v10]
C # C c 1 c c c c c 1 . C O C ( = O ) c 1 c c c c ( Br ) c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5]
C = C ( C ) c 1 c c c c c 1 N C ( = O ) c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [NH+] # [N+] c 1 c c c c c 1 | [v1]
C = C c 1 c c c ( O C ) c c 1 . C C ( C ) [n+] 1 c ( - c 2 c c c c c 2 ) c c ( - c 2 c c c c c 2 ) c c 1 - c 1 c c c c c 1 . F B ( F ) F . [F-] . [N-] = [N+] = N [Na] | [v25]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C S ( C ) = O . O = C ( C C C S c 1 c c c c c 1 ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O | [v0]
C = C C ( = O ) O C C ( F ) ( F ) F . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C [Se-] . [NH4+] | [v0]
C = C B 1 C C ( C ) ( C ) C ( C ) ( C ) C 1 . C = C C C C C O C ( = O ) c 1 c c c ( Br ) c c 1 . C C ( C ) ( C ) Br | [v36]
C # C c 1 c c c ( C ( = O ) O C ) c c 1 . N c 1 c c c c n 1 . O = O | [v3]
Br c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C = C C ( = O ) O C . C [Si] ( C ) ( C ) [SiH] ( [Si] ( C ) ( C ) C ) [Si] ( C ) ( C ) C | [v13]
C = C c 1 c c c ( F ) c c 1 . O = C ( O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O ) C 1 C C C C C 1 | [v0]
C = C ( C ) c 1 c c c c c 1 N C ( = O ) c 1 c c c c c 1 C . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C ( C S ( = O ) ( = O ) c 1 c c c c c 1 ) C ( = O ) O C C . C O c 1 c c c ( C = O ) c c 1 . C O c 1 c c c ( N ) c c 1 | [v40]
C = C ( C ( = O ) O C c 1 c c c c c 1 ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . F [B-] ( F ) ( F ) C C 1 C C C C C 1 . F [N+] 1 2 C C [N+] ( C Cl ) ( C C 1 ) C C 2 . [K] | [v0]
C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C c 1 c ( C # C c 2 c c c ( F ) c c 2 ) c c c c 1 - c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v2]
F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( F ) c c 1 F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . S C 1 C C C C C 1 | [v0]
C C ( C ) ( C ) C ( = O ) O . C C ( C ) ( C ) N O C ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22]
F B ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c ( Br ) c c 1 . [F-] . [K+] | [v0]
C C ( C ) ( C ) O N = O . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c ( Cl ) c c 2 ) c c 1 . C O c 1 c c c ( N ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C ( C C c 1 c c c c c 1 ) [n+] 1 c ( - c 2 c c c c c 2 ) c c ( - c 2 c c c c c 2 ) c c 1 - c 1 c c c c c 1 . F [B-] ( F ) ( F ) F | [v0]
C = C ( c 1 c c c ( Br ) c c 1 ) c 1 c c c ( Br ) c c 1 . O = C ( O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O ) C 1 C C C C C 1 | [v0]
C 1 C C C C C 1 . C = C C ( = O ) O C . C C 1 ( C ) O B ( c 2 c c c ( Br ) c c 2 ) O C 1 ( C ) C | [v13]
C = C N C ( C ) = O . C O C ( = O ) C Br . C O C ( = O ) c 1 c c c n c 1 | [v34]
C # C c 1 c c c ( B 2 O C ( C ) ( C ) C ( C ) ( C ) O 2 ) c c 1 . C C ( C ) ( C ) O C ( = O ) N C ( C ) ( C ) C ( = O ) O | [v7]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c ( C # N ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] . c 1 c c c ( - c 2 c c ( - c 3 c c c c c 3 ) [n+] ( C 3 C C C C C 3 ) c ( - c 3 c c c c c 3 ) c 2 ) c c 1 | [v0]
C = C ( C N C c 1 c c c c c 1 ) c 1 c c c c ( C ) c 1 . C C O C ( = O ) C ( F ) ( F ) Br . O = C = O | [v0]
C C C ( C ) C N ( C ( = O ) O C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c c c 1 | [v0]
C C C C C C C C C C C C C C C C ( = O ) O . O = C ( O N 1 C C O C C 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22]
C = C C C C C . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F | [v0]
C = C C c 1 c c c c c 1 C c 1 c c c ( F ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v38]
N N ( c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( = O ) ( O [IH2] ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) C ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
C = C c 1 c c c ( Br ) c c 1 . O . O = C ( [N-] [n+] 1 c c c c c 1 ) C ( F ) ( F ) F | [v0]
C = C ( C ( = O ) O C c 1 c c c c c 1 ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . F [B-] ( F ) ( F ) C c 1 c c c c c 1 . F [N+] 1 2 C C [N+] ( C Cl ) ( C C 1 ) C C 2 . [K] | [v0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I | [v0]
C = C c 1 c c c ( Cl ) c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) C ( C ) ( C ) C . C c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 | [v0]
C = C c 1 c c c ( C ) c c 1 . O = C ( O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O ) C 1 C C C C C 1 | [v0]
C # C c 1 c c c c c 1 . C C ( = O ) [C@H] 1 C C [C@H] 2 [C@@H] 3 C C = C 4 C [C@H] ( O C ( = O ) c 5 c c c ( Br ) c c 5 ) C C [C@] 4 ( C ) [C@H] 3 C C [C@] 1 2 C . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O | [v7]
C / C = C / c 1 c c c ( O C ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . c 1 c c c 2 [nH] c c c 2 c 1 | [v0]
C = C c 1 c c c c c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1]
C # C c 1 c c c c c 1 . C C C C O . O = O | [v6]
C / C = C / c 1 c c c c c 1 . O . O = C ( [N-] [n+] 1 c c c c c 1 ) C ( F ) ( F ) F | [v0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C 2 ( C C 1 ) C C ( = N O C ( = O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) C 2 . C C N ( C C ) C C . F | [v0]
O = C = O . O = S ( O [Na] ) C ( F ) ( F ) F . [H] / C = C ( / c 1 c c c c c 1 ) c 1 c c c c c 1 C | [v0]
C C O C ( = O ) C ( Br ) C ( = O ) O C C . C O C ( = O ) / C = C \ N c 1 c c c c c 1 . C O C ( = O ) c 1 c c c ( N 2 C ( = O ) C = C C 2 = O ) c c 1 | [v42]
Br C 1 = C c 2 c c c c c 2 C 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13]
C ( = C / c 1 c c c c c 1 ) \ C C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0]
C = C ( C ( = O ) O C c 1 c c c c c 1 ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . F [N+] 1 2 C C [N+] ( C Cl ) ( C C 1 ) C C 2 . O = C ( C C [B-] ( F ) ( F ) F ) N c 1 c c c c c 1 . [K] | [v0]
C # C c 1 c c c ( C C ) c c 1 . O . c 1 c c c 2 c ( c 1 ) c n c 1 c c c c c 1 2 | [v0]
C = C ( C S ( = O ) ( = O ) c 1 c c c c c 1 ) P ( = O ) ( O C C ) O C C . C O c 1 c c c ( N ) c c 1 . O = C c 1 c c c c c 1 | [v40]
C C ( C ) I . C C C C = O . C O c 1 c c 2 c ( c c 1 O C ) C ( = O ) C ( C C 1 C C N C C 1 ) C 2 | [v8]
C = C c 1 c c c c ( Br ) c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1]
O = C = O . O = S ( O [Na] ) C ( F ) ( F ) F . [H] / C = C \ c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v0]
C = C c 1 c c c c c 1 - c 1 c c c c c 1 . C O [n+] 1 c c c ( C # N ) c c 1 | [v0]
C = C c 1 c c c 2 c c c c c 2 c 1 . N c 1 c c c c c 1 . O = C 1 c 2 c c c c c 2 C ( = O ) N 1 O C ( = O ) C 1 2 C [C@H] 3 C [C@@H] ( C 1 ) C [C@@H] ( C 2 ) C 3 | [v33]
C C ( C ) I . C C C C = O . F c 1 c c c 2 c ( C 3 C C N C C 3 ) n o c 2 c 1 | [v8]
C = C c 1 c c c ( O C ) c c 1 . C C O C ( = O ) C C C C C ( = O ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O . C c 1 c c c c ( N ) c 1 C | [v33]
C O c 1 c c c c 2 c 1 c c n 2 C . O = S ( = O ) ( Cl ) c 1 c c c c c 1 . [C-] # [O+] | [v0]
N N 1 C C O C C 1 . O = S ( = O ) ( O [IH2] ( c 1 c c c ( Cl ) c c 1 ) c 1 c c c ( Cl ) c c 1 ) C ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
Br C 1 C C C C C 1 . S C c 1 c c c o 1 . [C-] # [O+] | [v20]
C # C c 1 c c c c ( C ) c 1 . C C ( = O ) c 1 c c c ( Br ) c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O | [v7]
C C O C ( = O ) C C ( C ) = O . N # C C C # N . O = C 1 N c 2 c c ( F ) c ( F ) c c 2 C 1 = O | [v0]
C = C ( N = [N+] = [N-] ) c 1 c c c ( C ) c c 1 . C C C C C ( C C ) C 1 C ( C ( = O ) O C C ) = C ( C ) N C ( C ) = C 1 C ( = O ) O C C . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C / C = C / c 1 c c c ( Br ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v0]
N c 1 c c c c c 1 . O = C c 1 c c c ( F ) c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C O C ( = O ) C ( C ) ( C ) Br . C S ( C ) = O | [v1]
C # C c 1 c c c c ( C ) c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 . N # C c 1 c c c ( Br ) c c 1 | [v5]
Br c 1 c c c ( Br ) c c 1 . C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5]
C = C c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C = C c 1 c c c c c 1 . C O C ( = O ) c 1 c c c ( C = O ) c c 1 . C O C ( = O ) c 1 c c c ( N ) c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C # C c 1 c c c ( C C C C ) c c 1 . C O . O = O | [v6]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F B ( F ) C 1 C C C C C 1 . N c 1 c c c c ( C ( F ) ( F ) F ) c 1 . [F-] . [K+] | [v0]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c ( Cl ) c c 1 | [v0]
C = C C C C O . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F | [v0]
C C ( C ) I . C C C C = O . C C O C ( = O ) C N C c 1 c c c c c 1 | [v8]
C [Si] ( C ) ( C ) O C ( = C ( F ) F ) c 1 c c c c c 1 . C c 1 c c ( C ) c c ( [N+] # N ) c 1 . F [B-] ( F ) ( F ) F . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
C c 1 c c c c ( C # C Br ) c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( O [Na] ) O S ( = O ) O [Na] . [K+] | [v50]
C = C O C C C C C C C C C C C C C C . C c 1 c c ( C ) n ( C ( = O ) / C = C / C C 2 C C N ( C ( = O ) O C ( C ) ( C ) C ) C C 2 ) n 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v44]
C = C c 1 c c c c c 1 O . C S ( C ) = C C ( = O ) c 1 c c c s 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v26]
C = C c 1 c c c ( O C ( C ) = O ) c c 1 . C C O C ( = O ) C ( C ) Br . C S ( C ) = O | [v1]
C = C C B 1 O C ( C ) ( C ) C ( C ) ( C ) O 1 . C C O C ( = O ) C ( F ) ( F ) Br . C c 1 c c c ( S ( = O ) ( = O ) C # C c 2 c c c c c 2 ) c c 1 | [v0]
C = C ( C C ) c 1 c c c c c 1 . C C # N . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 N C ( = O ) c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C c 1 c c c c c 1 . C C C ( C ) ( C ) O . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C # C c 1 c c c ( C # C ) c c 1 . N c 1 c c c c c 1 O . O = O | [v3]
